Name,Website,Image,Bio
Christiana Harrell ,http://www.christianaharrell.com/,http://www.christianaharrell.com/uploads/2/6/8/0/26800309/editor/giant.jpg?1615432527,"Christiana Harrell was born and raised in New Orleans, Louisiana, and discovered her love of literature while sneaking peaks at titles her mother kept lying around the house. She introduced herself to the literary scene in 2009 with her first bestseller Girl: A Story for every Les Being. Girl would set the stage for the author she would become and the group she would represent. Harrell’s spicy scenes coupled with life lessons made The Replacement Man, Intermission, Cream, Among Us, Girl: Six Color Society, and Beneath the Surface heavy hitters inside and outside of her community. Cream alone was nominated for a Lambda Literary award."
Christina C Jones,http://beingmrsjones.com/,https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/q6t4ojjbvlmiequ0jln1kacdc7.jpg,"Christina C. Jones is a best-selling romance novelist and digital media creator.  A timeless storyteller, she is lauded by readers for her ability to seamlessly weave the complexities of modern life into captivating tales of black romance.  As an author, Christina’s work has been featured in various media outlets such as Oprah Mag and Shondaland.com and she is the winner of numerous community awards.  In addition to her full-time writing career, she cofounded Girl, Have You Read – a popular digital platform that amplifies black romance authors and their stories.  A former graphic designer, Christina has a passion for making things beautiful and can usually be found crafting and cooking in her spare time. She currently lives in Arkansas with her husband and their two children. "
Farrah Rochon,https://www.farrahrochon.com/,"https://static.wixstatic.com/media/d5d047_2a96a9b8f2444c2280b6104b19d8ef0b~mv2_d_1575_2100_s_2.jpg/v1/fill/w_556,h_636,al_c,q_80,usm_0.66_1.00_0.01/Rochon_Sitting.webp","A native of south Louisiana, USA Today Bestselling author Farrah Rochon officially began her writing career while waiting in between classes in the student lounge at Xavier University of Louisiana. After earning her Bachelor of Science degree from Xavier and a Masters of Arts from Southeastern Louisiana University, Farrah decided to pursue her lifelong dream of becoming a published novelist. She was named Shades of Romance Magazine's Best New Author of 2007. Her debut novel, Deliver Me, the first in her Holmes Brothers series, garnered rave reviews, earning Farrah several SORMAG Readers' Choice Awards. Farrah is a two-time finalist for Romance Writers of America's RITA Award and has been a Romantic Times Book Reviews Reviewer's Choice Award nominee. In 2015, Farrah won the Emma Award for Author of the Year. When she is not writing in her favorite coffee shop, Farrah spends most of her time reading, traveling the world, hanging around on Twitter, visiting Disney World, and trying to attend as many Broadway shows as her budget will allow. An admitted sports fanatic, Farrah feeds her addiction to football by watching New Orleans Saints games on Sunday afternoons."
Jasmine Guillory,https://www.jasmineguillory.com/,https://images.gr-assets.com/authors/1498111769p8/16287225.jpg,"Jasmine Guillory is the New York Times bestselling author of six romance novels, including The Wedding Date, The Proposal, and the upcoming While We Were Dating. Her work has appeared in O, The Oprah Magazine, Cosmopolitan, Bon Appetit, and Time. She lives in Oakland, California."
Kayla Perrin,https://www.authorkaylaperrin.com/,"https://static.wixstatic.com/media/ac078c_a5e30a4a6ff67c3c508837acd9720e3b.jpg/v1/fill/w_318,h_433,al_c,q_80,usm_0.66_1.00_0.01/Kayla%202.webp","Kayla Perrin is a multi-award-winning, multi-published USA Today and Essence ® bestselling author whose 43rd book was released in late 2011! Also in 2011, Kayla received the prestigious Harry Jerome Award for excellence in the arts."
Keisha Ervin,https://www.goodreads.com/author/show/54070.Keisha_Ervin,https://images-na.ssl-images-amazon.com/images/I/517Q2SHugsL.jpg,"Presenting Keisha Ervin, national best selling author of Me & My Boyfriend, Chyna Black, Mina's Joint, Hold U Down, Street Love, Torn, Finding Forever, Girls From Da Hood 5, Gunz and Roses, Material Girl and coming soon Material Girl 2: Labels and Love. Ervin lives in St. Louis, Missouri with her son and is hard at work on her next novel."
Kennedy Ryan,https://kennedyryanwrites.com/,https://static.onecms.io/wp-content/uploads/sites/6/2019/10/kennedyryan-2000.jpeg,"A RITA Award Winner and Top 25 Amazon Bestseller, Kennedy Ryan writes for women from all walks of life, empowering them and placing them firmly at the center of each story and in charge of their own destinies. Her heroes respect, cherish and lose their minds for the women who capture their hearts. She is a wife to her lifetime lover and mother to an extraordinary son. She has always leveraged her journalism background to write for charity and non-profit organizations, but enjoys writing to raise Autism awareness most. A contributor for Modern Mom Magazine, Kennedy’s writings have appeared in Chicken Soup for the Soul, USA Today and many others. The founder and executive director of a foundation serving Atlanta families living with Autism, she has appeared on Headline News, Montel Williams, NPR and other media outlets as an advocate for families living with autism."
Kianna Alexander,http://authorkiannaalexander.com/,https://aalbc.com/author-photos/Kianna-Alexander.jpg,"Like any good Southern belle, Kianna Alexander wears many hats: doting mama, advice-dispensing sister, fun aunt and gabbing girlfriend. She's a voracious reader, an amateur seamstress and occasional painter in oils. Chocolate, American history, sweet tea and Idris Elba are a few of her favorite things. A native of the TarHeel state, Kianna still lives there while maintaining her collection of well-loved vintage 80's Barbie dolls. "
Kiru Taye,https://www.kirutaye.com/,https://images.gr-assets.com/authors/1542017548p5/5242699.jpg,"As a lover of romance novels, Kiru wanted to read stories about Africans falling in love. When she couldn’t find those books, she decided to write the stories she wanted to read. Kiru writes sensual stories featuring African characters whether on the continent or in the Diaspora. When she's not writing you can find her either immersed in a good book or catching up with friends and family. She currently lives in the South of England with her husband and three children. Kiru is a founding member of Romance Writers of West Africa. In 2011, her debut romance novella, His Treasure, won the Book of the Year at the Love Romances Café Awards. She is the 2015 Romance Writer of the Year at the Nigerian Writers Awards and 2017 Author of the Year at the Ufere Awards."
Kwana Jackson,https://kmjackson.com/,https://kmjackson.com/wp-content/uploads/2019/11/Kwana-author-400-215x300.png,"A USA Today bestselling author, native New Yorker, Kwana Jackson aka K.M. Jackson spent her formative years on the ‘A’ train where she had two dreams: 1) to be a fashion designer and 2) to be a writer. After spending over ten years designing women’s sportswear for various fashion houses Kwana took the leap of faith and decided to pursue her other dream of being a writer."
Latrivia S. Nelson,https://latriviawelchblog.com/,https://latrivianelson.files.wordpress.com/2008/10/picture-001.jpg?w=300&h=240,"Based in Memphis, TN, Latrivia Welch divides her time between her three passions: business, writing and community. As the Director of Communications and Marketing for Planned Parenthood Greater Memphis Region, her days are spent advocating for women’s reproductive health and rights.
As the President and CEO of RiverHouse Publishing, LLC, an indie publishing house for self-published authors, she spends her time helping people realize their artistic dreams through literature. And as USA TODAY bestselling author, Nelson has penned of over 20 novels about interracial romance  in an effort to eradicate stigmas around African-American women as heroines, interracial dating and multicultural children. Having graduated from LeMoyne-Owen College and worked for some of the most impactful contemporary figures in the city of Memphis, Welch is committed to using her experience (over 17 years in public relations and marketing) and her passion to serve the community through volunteerism  to help the city progress in issues regarding women in leadership, politics, economic development, reproductive health, domestic abuse and education."
Lena Hampton,http://www.bylenahampton.com/,https://images-na.ssl-images-amazon.com/images/I/81fXTD2m60L._US230_.jpg,"Lena was born, raised, and has lived her entire life in the state of Indiana. She’s a Hoosier through and through; except she didn't go to IU (Hoosiers are the school’s mascot though no one knows where that term originated) and she cheers for the Bears and Bulls instead of the Colts and Pacers.  She bases most of her stories in Indiana because it's what she knows. She’s been making up stories since before she could write. Her dolls had lives which would have made Erica Kane blush. Seriously, once one of her Barbies was pregnant (thanks to a cotton ball in her leotard) while in a full body cast (thanks to tissue and tape) from a ski “accident” that was caused by her rival. Her mother probably shouldn’t have let her watch All My Children and Edge of Night along with Sesame Street. "
Lena Hart,http://www.lenahartwrites.com/,http://www.lenahartwrites.com/uploads/1/0/7/4/10741592/___9908048.jpg?176,"It started innocently with a few young adult series like Goosebumps and Sweet Valley University. Then one day, the pretty purple cover of Amanda Quick's Seduction called to me and I've been reading romance ever since. My passion for writing eventually came when I wrote two screenplays and a short story in the 8th grade. My language arts teacher loved them and encouraged me to become a screenwriter. Instead I chose to write romance. I love weaving stories of love and passion. Picture My very first novella, Because You Love Me, was published in 2012 and I've been writing and publishing ever since. Though I enjoy romance stories of all kinds, I mainly write sensual, interracial romances with a hint of mystery and danger."
Lindsay Evans,http://www.lindsayevanswrites.com/,https://images.gr-assets.com/authors/1390497937p5/774814.jpg,"Born in Jamaica, Lindsay Evans currently lives in Atlanta, GA. She loves good food and romance and would happily travel to the ends of the earth for both. She writes sensual novels and short stories for the romantic in all of us. Find out more at www.LindsayEvansWrites.com."
Mia Sosa,https://miasosa.com/,https://miasosa.com/wp-content/uploads/2019/10/Author-photo-resized-768x1024.jpg,"USA Today bestselling author Mia Sosa writes funny, flirty, and moderately steamy contemporary romances that celebrate our multicultural world. Her books have received praise and recognition from Kirkus Reviews, Library Journal, Publishers Weekly, O, The Oprah Magazine, The Washington Post, Buzzfeed, Entertainment Weekly, and more. Book Riot included her debut, Unbuttoning the CEO, in its list of 100 Must-Read Romantic Comedies, and Booklist recently called her “the new go-to author for fans of sassy and sexy contemporary romances.” Book Riot included her debut, Unbuttoning the CEO, in its list of 100 Must-Read Romantic Comedies, and Booklist recently called her “the new go-to author for fans of sassy and sexy contemporary romances.” Before embarking on a writing career, Mia practiced First Amendment and media law in the nation’s capital. Now she spends her days plotting stories and procrastinating on Twitter. Mia lives in Maryland with her husband, their two bookaholic daughters, and one dog that rules them all. For more information about Mia and her books, visit www.miasosa.com."
Mimi Grace,https://mimigracebooks.com/,https://images.gr-assets.com/authors/1558536236p5/19191751.jpg,"Mimi Grace credits romance novels for turning her into a bookworm at twelve years old. It didn’t matter if those stories included carriages or cowboys, she could be found past her bedtime getting lost in a couple’s journey to happily-ever-after.

She wants to evoke the same feelings in others with her fun and sexy books.

Besides romance novels, she loves generous servings of mint chocolate chip ice cream, long-running reality competition TV shows, and when she correctly spells “necessary” the first time."
Naima Simone,Thttp://naimasimone.com/,http://naimasimone.com/wp/wp-content/uploads/2017/02/5216small-e1497979706335.gif,"Published since 2009, USA Today Bestselling author Naima Simone loves writing sizzling romances with heart, a touch of humor and snark. Her books have been featured in The Washington Post and Entertainment Weekly, and described as balancing “crackling, electric love scenes with exquisitely rendered characters caught in emotional turmoil.”"
Nana Malone,https://nanamaloneromance.net/,https://nanamaloneromance.net/wp-content/uploads/2020/09/IMG_2281-copy-683x1024.jpg,"Wall Street Journal & USA Today Bestselling author, Nana Malone writes Sexy Feel-Good Romance and loves of all things romance and adventure. That love started with a tattered romantic suspense she ""borrowed"" from her cousin. It was a sultry summer afternoon in Ghana, and Nana was a precocious thirteen. She's been in love with kick butt heroines ever since. With her overactive imagination, and channeling her inner Buffy, it was only a matter a time before she started creating her own characters."
Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,https://pbs.twimg.com/profile_images/817760133233057794/ibyaqG5i.jpg,"Pepper Pace is the pen name used by the author. Born and raised in Cincinnati, she has always enjoyed creativity. At a very young age, Pepper had a gift for art and would spend most of her spare time drawing images that she later began adding stories behind. Soon writing became more important than the illustrations and though she still loved art, it took a back seat to her real love. Pepper wrote her first novel when she was 12 years old and had written 2 more by the age of 18. Too shy to share her work with anyone, Pepper stock piled her many stories into notebooks until she came upon Literotica.com and was compelled to share her craft. Pepper wrote her first novel when she was 12 years old and had written 2 more by the age of 18. Too shy to share her work with anyone, Pepper stock piled her many stories into notebooks until she came upon Literotica.com and was compelled to share her craft."
Piper Huguley,https://piperhuguley.com/,https://s3.amazonaws.com/storage2.magcloud.com/image/5a9ddd2bc46ad144bcd697401a683464.jpg,"Piper Huguley seeks to make new inroads in the publication of historical romance by featuring African American Christian characters.  The Lawyer’s Luck and The Preacher’s Promise, the first books in her “Home to Milford College” series, are Amazon best sellers.  The Mayor’s Mission, published in Winter 2014.  The next entry in the series, The Representative’s Revolt will publish in Spring 2015. She is a 2013 Golden Heart finalist for her novel, A Champion’s Heart—the fourth book in “Migrations of the Heart”. The first book in the series, A Virtuous Ruby, was the first-place winner in The Golden Rose Contest in 2013 and was a Golden Heart finalist in 2014. The first three books in the “Migrations of the Heart” series, which follows the loves and lives of African American sisters during America’s greatest internal migration in the first part of the twentieth century, will be published by Samhain Publishing in 2015.  She lives in Atlanta, Georgia with her husband and son."
Rebekah Weatherspoon,https://rebekahweatherspoon.com/,https://rebekahweatherspoon.com/wp-content/uploads/bb-plugin/cache/RWHeadShot2020-scaled-1-portrait.jpg,"After years of meddling in her friends’ love lives, Rebekah Weatherspoon turned to writing romance to get her fix. Raised in Southern New Hampshire, Rebekah Weatherspoon now lives in Southern California where she will remain forever because she hates moving. With over twenty titles under her belt Rebekah has covered sub-genres from suspenseful paranormal romance to steamy BDSM romantic comedies. Look for IF THE BOOT FITS, the second book in her COWBOYS OF CALIFORNIA trilogy, out now from Kensington Books. You can find Rebekah and her books on twitter at @rdotspoon and her website www.rebekahweatherspoon.com"
Rilzy Adams,http://www.rilzywrites.com/,https://images.squarespace-cdn.com/content/v1/56ac9073e321400276050e74/1613403640982-K7V18I74QMYQVKBXS491/ke17ZwdGBToddI8pDm48kBtpJ0h6oTA_T7DonTC8zFdZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIWkiAYz5ghgEgSGJuDQ4e1ZKXpRdhEMT7SgthRpD0vyIKMshLAGzx4R3EDFOm1kBS/author.jpg?format=750w,"Rilzy Adams needs only five things to survive: sushi, coffee, Prosecco, cuddles and words (though not in that order)."
Rochelle Alers,https://www.goodreads.com/author/show/107119.Rochelle_Alers,https://upload.wikimedia.org/wikipedia/commons/9/9f/9.13.09RochelleAlersByLuigiNovi.jpg,Rochelle Alers has been hailed by readers and booksellers alike as one of today's most prolific African American authors of romance and women's fiction.
Selena Montgomery,https://selenamontgomery.com/,"https://img1.wsimg.com/isteam/ip/92f8f978-c8a6-4e00-83c6-45cb5a19b66d/fd03949c-a457-41f9-978a-d9f7784019c8.jpg/:/cr=t:6.83%25,l:0%25,w:100%25,h:64.94%25/rs=w:1136,h:568,cg:true","Selena Montgomery grew up in Mississippi and Georgia, with two incredible parents and five fascinating siblings. She is a graduate of Spelman College, the LBJ School of Public Affairs, and Yale Law School. She draws upon her interest in and experiences with social and economic policy, politics, and creative writing to fuel her novels. As her alter ego, Stacey Abrams, she served eleven years in the Georgia House of Representatives. In 2018, she became the Democratic nominee for Governor of Georgia, and is the first black woman and first Georgian to deliver a Response to the State of the Union."
Sheryl Lister,http://sheryllister.com/,https://images-na.ssl-images-amazon.com/images/S/amzn-author-media-prod/eaqmqbm9cbq9tqdv9laivfapgc._US230_.jpg,"Sheryl Lister has enjoyed reading and writing for as long as she can remember. After putting writing on the back burner for several years, she became serious about her craft in 2009. She writes contemporary and inspirational romance and romantic suspense. When she’s not reading, writing or playing chauffeur, Sheryl can be found on a date with her husband or in the kitchen creating appetizers and bite-sized desserts. Sheryl resides in California and is a wife, mother of three daughters, a son-in-love, and a proud grandmother. Sheryl is a member of RWA, Romance Writers of America®, “The Voice of Romance Writers,” as well as the Cultural, Interracial, and Multicultural Special Interest Chapter of Romance Writers of America (CIMRWA). She is represented by Sarah Younger of Nancy Yost Literary Agency."
Stephanie Nicole Norris,https://stephanienicolenorris.com/,https://stephanienicolenorris.com/wp-content/uploads/2020/11/stephaniecomput-714x1024.png,"Stephanie Nicole Norris is an author from Chattanooga, Tennessee, with a humble beginning. After becoming a young adult, her love for romance sparked, leaving her captivated by heroes and heroines alike."
Talia Hibbert,https://www.taliahibbert.com/,https://static.onecms.io/wp-content/uploads/sites/6/2019/03/talia-hibbert-author-photo_ed-chappell-uk-2000.jpg,"Talia Hibbert is a USA Today and Wall Street Journal bestselling author who lives in a bedroom full of books. Supposedly, there is a world beyond that room, but she has yet to drum up enough interest to investigate."
Therese Beharrie,http://theresebeharrie.com/,https://pbs.twimg.com/profile_images/1358719933128060929/7mNu4dFe.jpg,"Being an author has always been Therese’s dream. But it was only when the corporate world loomed during her final year at university that she realised how soon she wanted that dream to become a reality. So she got serious about her writing, entered the Harlequin So You Think You Can Write competition and got the attention of an editor. Now she writes books she wants to see in the world featuring people who look like her for a living. When she’s not writing, she’s spending time with her husband and dogs in Cape Town, South Africa."
Tiffany Patterson,https://tiffanypattersonwrites.com/,http://www.cherylholloway.net/blog/wp-content/uploads/2017/05/Tiffany-Patterson-300x225.jpg,"Reading romance and erotica started as a great way to de-stress at the end of the day. I came to enjoy and look forward to finding more Black authors telling stories of love and triumph. What I found most enticing about these stories is that for a few hours out of the day, I was able to pick up a book and read stories of people who looked like me falling in love. I was able to fall into a world in which people of color, in particular Black women, are cherished, loved and sometimes unabashedly sexual. I wanted more of this."
Vanessa Riley,https://vanessariley.com/,https://www.vanessariley.com/gotool/image/data/VanessaRileyHeadB737.jpg,"Vanessa Riley writes Historical Fiction and Historical Romance (Georgian, Regency, & Victorian) featuring hidden histories, dazzling multi-culture communities, and strong sisterhoods. She promises to pull heart strings, offer a few laughs, and share tidbits of tantalizing history. 
Her latest release, A Duke, The Lady, and A Baby is an Amazon Best of the Month Selection and a Publishers Weekly Summer Reads 2020 Editors' Pick. A Duke, The Lady, and A Baby has been reviewed by Entertainment Weekly, NPR, Library Journal, and the New York Times and received a starred review in Publishers Weekly."
