,index,Book,Author,Image,Year,Description,Buy,Topics,Value
794,8,His Diamond Queen,Lena Hart,https://m.media-amazon.com/images/I/91E1aODCUcL._AC_UY218_.jpg,2014,"Loyalty comes at a cost. Former MMA fighter, Jay Price stays connected with Vegas' criminal underbelly and for the right price he'll take on any job. Yet when he's hired to babysit a beautiful, spoiled ""princess,"" he finds himself both fascinatedand irritatedby his sudden attraction to her. As the beloved secret daughter to a ruthless crime boss, Rachelle Silva wants for nothingexcept freedom from her overprotective father. But with her identity compromised and her life threatened, Rachelle is given the one thing she's hated most: an escort. Confused by her attraction to the tattooed ""thug,"" Rachelle sets out to make Jay as aware of her as she is of him. Unfortunately, the threats to her life are all too real and Jay is forced to bring her into his ""world"" until the threat is...eliminated. But he has an even bigger fight on his handshis desire for the one woman he's forbidden to have.",https://www.amazon.com/His-Diamond-Queen-Quartette-Book-ebook/dp/B00QD898YC/ref=sr_1_1?dchild=1&keywords=His+Diamond+Queen&qid=1615770783&s=books&sr=1-1,Adult Romance,1
796,10,B is for Bedpost,Lena Hart,https://m.media-amazon.com/images/I/8108g10CuCL._AC_UY218_.jpg,2015,"Newly engaged couple Athena Lewis and David Carrone are off to celebrate the best way they know howin bed someplace far from the glittering lights of Las Vegas. They arrive on a private island where pleasure, fun, and relaxation awaitsor so they believe. When they are invited to the island's most exclusive club, they soon discover that the ""Mansion"" is no ordinary nightclub. Luckily, David and Tena are no ordinary couple. Looking to add more excitement to their relationship, they take the opportunity to explore their secret desires and hidden cravings. But during their passionate exploration, the matter of trust resurfaces as painful memories from Tena's past returns, pushing them further from each other and threatening to sever their special bond. **Note: this short story is a continuation of the novel, HIS BEDPOST QUEEN. Both stories, however, can be read as standalones.",https://www.amazon.com/Bedpost-Queen-Quartette-Book-ebook/dp/B00TU02KYA/ref=sr_1_1?dchild=1&keywords=B+is+for+Bedpost+lena+hart&qid=1615770919&s=books&sr=1-1,Adult Romance,1
797,11,Something Old,Lena Hart,https://m.media-amazon.com/images/I/71+J-0k9KeL._AC_UY218_.jpg,2016,"Jilted by the one woman he's ever loved, small town sheriff Guy Lawson vows never to let himself be so vulnerable. But when the woman who broke his heart returns to Cedar Bend, he is forced to uphold an old promise he made long ago... After two years of running from her father's death, Zamya ""Mya"" Daniels is ready to win back the man she loves. Except Guy doesn't believe in second chances. When Mya sets out to repair their broken relationship, Guy's guarded heart is helpless against his body's desires. Will their old bond be enough to save their loveor will they come to accept that some things just aren't meant to last?",https://www.amazon.com/Something-Brides-Cedar-Bend-Book-ebook/dp/B01CN80MJ0/ref=sr_1_1?dchild=1&keywords=Something+Old+lena+hart&qid=1615770976&s=books&sr=1-1,Adult Romance,1
799,13,Just One More Time,Rilzy Adams,https://m.media-amazon.com/images/I/81LJTT96JxL._AC_UY218_.jpg,2018,"When Orlando Johnson walked out on Katrina Bolton nearly a decade ago, he swore to anyone who would listen that he would never regret it. Now fate has tossed them back together in the form of a little boy who needs their love and protection and Orlando realizes leaving Kat was the worst mistake of his life. Orlando is determined to get her back, but can he convince her to let them try their hand at love just one more time?",https://www.amazon.com/Just-More-Time-Falling-Johnson-ebook/dp/B07K2RJF6G/ref=sr_1_1?dchild=1&keywords=Just+One+More+Time+rilzy+adams&qid=1615771123&s=books&sr=1-1,Adult Romance,1
800,14,Let Me Hold You,Alexandria House,https://m.media-amazon.com/images/I/91CMQ167npL._AC_UY218_.jpg,2018,"NBA player, Leland McClain, the baby of the McClain family, is tall, handsome, talented...and spoiled. He's a man who gets what he wants, and what he wants is the lovely Kimberly Hampton. Kim Hampton is the director of a community center, a woman who lives to help others while trying to forget a troubling past. As far as she's concerned, a relationship with any man is a horrible idea. But a relationship with Leland McClain? That's just out of the question. He has to have her. She is undeniably attracted to him. But will she lower her guard and let him hold her?",https://www.amazon.com/Let-Hold-McClain-Brothers-Book-ebook/dp/B07DNP5XSW/ref=sr_1_2?dchild=1&keywords=Let+Me+Hold+You&qid=1615771175&s=books&sr=1-2,Adult Romance,1
801,15,A Marriage Worth Saving,Therese Beharrie,https://m.media-amazon.com/images/I/81stHGenlFL._AC_UY218_.jpg,2017,"Never too late... Once, Mila Thomas had love, marriage and the promise of the family she'd always longed for, until tragedy struck. Now, with the ink still drying on her divorce papers, no matter how painful it is, it's time to move on... To begin again? Leaving Mila was the hardest thing Jordan's ever had to do. However, when fate brings them back together, he's reminded of what drew him to his beautiful wife in the first place, and he wonders if it's ever too late to try again?",https://www.amazon.com/Marriage-Worth-Saving-Harlequin-Romance-ebook/dp/B01MTMU9DJ/ref=sr_1_1?dchild=1&keywords=A+Marriage+Worth+Saving+Therese+Beharrie&qid=1615771312&s=books&sr=1-1,Adult Romance,1
803,17,Tempted by The Billionaire Next Door,Therese Beharrie,https://m.media-amazon.com/images/I/81q5n7uyjiL._AC_UY218_.jpg,2018,"He's the one man who's off-limits... But could he be her Mr. Right? When Jessica Steyn learns her delicious new neighbor is actually her best friend's brother, billionaire bad boy Dylan Nel, she's torn. After all, she's just become his sister's surrogate! Acting on their attraction would complicate things, but they're soon growing closer. Overcoming Dylan's troubled family historyand Jessica's pregnancyseems impossible, but could the answer to their heartaches be just next door?",https://www.amazon.com/Tempted-Billionaire-Next-Harlequin-Romance-ebook/dp/B0776WXDPT/ref=sr_1_1?dchild=1&keywords=Tempted+by+The+Billionaire+Next+Door+Therese+Beharrie&qid=1615771454&s=books&sr=1-1,Adult Romance,1
804,18,King's Promise,Adrianne Byrd,https://m.media-amazon.com/images/I/513jNJ9q8EL._AC_UY218_.jpg,2011,"The sexy King brothers own a successful bachelor-party-planning business and a string of upscale clubs across the country. What could be better than living the single life in some of the world's most glamorous cities? Finding a woman worth giving it up for... A promise of ecstasy... Bartender Cheryl Shepherd has just done the unthinkableshe has shot down Xavier King. Repeatedly. Now the handsome club owner is on a mission to seduce her. And when he finally succeeds, he's blown away by their wild chemistry. For a notorious player, a sexy, confident woman like Cheryl is a risky proposition. Xavier has no idea how right he is. An undercover cop, Cheryl is really investigating alleged criminal activity in his club. Yet every time she's alone with her boss, Cheryl starts to lose her head along with all her inhibitions. But when the case grows dangerous, can Xavier be trusted with her heart...and her life?",https://www.amazon.com/Kings-Promise-House-Adrianne-Byrd-ebook/dp/B004Z2I54C/ref=sr_1_2?dchild=1&keywords=King%27s+Promise+Adrianne+Byrd&qid=1615771502&s=books&sr=1-2,Adult Romance,1
810,24,Will You Be Mine,Rilzy Adams,https://m.media-amazon.com/images/I/81QFXoynDrL._AC_UY218_.jpg,2017,"JT Johnson has been in love with his best friend for as long as he can remember. Hallie, however, seems clueless or deliberately obtuse. When she asks him to pretend to be her boyfriend for her ex-best friend's wedding, JT hesitantly agrees. Will their escape to the Caribbean be Heaven or Hell in Paradise?",https://www.amazon.com/Will-Mine-Falling-Like-Johnson-ebook/dp/B07762C15M/ref=sr_1_1?dchild=1&keywords=Will+You+Be+Mine+Rilzy+Adams&qid=1615771852&s=books&sr=1-1,Adult Romance,1
811,25,Let Me Please You,Alexandria House,https://m.media-amazon.com/images/I/81dYuOZR+ZL._AC_UY218_.jpg,2019,"She's the only sister in a family of alpha males. Loved, treasured, and sheltered by her brothers, Kat McClain is working to heal the pain of a failed marriage to a man she loved from her teenage years and move on with her life, but she's a woman, she has needs, and she is understandably lonely.
 
 Tommy Kirby has protected her brother since he was barely a man and has been a silent staple in the McClain family for just as long. He loves his job and his life, is loyal to his employer, but more than anything, he wants a family of his own.
 
 Perhaps these two are exactly what the other desires.
 
 *** This is a novella that takes place during the same time as Let Me Show You, book 3 of the McClain Brothers series and is best read after reading that book. ***
 
 Contains mature content.",https://www.amazon.com/Let-Me-Please-You-Brothers-ebook/dp/B07P976DP9/ref=sr_1_1?dchild=1&keywords=Let+Me+Please+You+Alexandria+House&qid=1615771909&s=books&sr=1-1,Adult Romance,1
814,28,Sultry in Stilettos,Nana Malone,https://m.media-amazon.com/images/I/815qIDUvOWL._AC_UY218_.jpg,2012,"No man in his right mind falls for his best friend. It's always a recipe for disaster. Especially when she works with you.
 
 But I am not in my right mind. One kiss from Ricca Munroe changes everything. I need my job to fulfill a promise, but Ricca is a distraction and one hell of an opponent in the office.
 
 All I have to do is resist the seductive charms of my best friend. But she's just as determined to win as I am, and both of us are playing dirty.
 
 I can resist her right? How hard can that be?",https://www.amazon.com/Sultry-Stilettos-Contemporary-Romance-ebook/dp/B00A64ETZW/ref=sr_1_1?dchild=1&keywords=Sultry+in+Stilettos+Nana+Malone&qid=1615772656&s=books&sr=1-1,Adult Romance,1
815,29,Seductive in Stilettos,Nana Malone,https://m.media-amazon.com/images/I/51ByV-XyiPL.jpg,2015,"A little freedom can change everything, for the Virgin and the Bad Boy.
 
 All sheltered student, Tristia Munroe, wanted was a little freedom. For the first time in four years, she's single and free of her security detail and from her past. First thing on her list? A little no-strings-attached fun. And by fun she means learning all about the world of dating and sex. Lucky for her, she's found just the right guy to teach her.
 
 Undercover security consultant, Shane Atkins, knows better than to let himself want anything - or anyone - too much. Wanting is dangerous. It leaves you vulnerable. Too bad the one and only thing he wantsthe girl he's been charged to protectis the girl he can't have.
 
 Will Shane dare to grasp his chance at happiness or will he give it all up for the mission. Will Trista be able to trust him when it matters most?
 
 Warning: Sexy, sass talking women will make you laugh, cry and want a pair of killer footwear.",https://www.amazon.com/Seductive-Stilettos-Complete-Collection-Contemporary-ebook/dp/B0146XI18O/ref=sr_1_1?dchild=1&keywords=Seductive+in+Stilettos+Nana+Malone&qid=1615772706&s=books&sr=1-1,Adult Romance,1
818,32,Let Me Love You,Alexandria House,https://m.media-amazon.com/images/I/81gVtyMBX2L._AC_UY218_.jpg,2018,"Trying to put past hurts behind you is hard when your ex is a fool, but buoyed by child support and alimony, Jo Walker is moving forward with her life, pursuing a career, raising her little girl, and trying to live in peace. She believes she has all the bases covered in her world. But what about her heart?
 
 Rap legend Everett ""Big South"" McClain is divorced, too, knows all about failed relationships, and has relegated his love life to casual connections rather than pursuing something real. That is, until he lays eyes on Jo.
 
 She's exactly what he never knew he needed.
 
 He's what's been missing from her world.
 
 Will she accept what he has to offer and let him love her?
 
 ***This novel contains profanity and sexual content. If you do not like those elements in your romantic reads, this is not the book for you***",https://www.amazon.com/Let-Love-McClain-Brothers-Book-ebook/dp/B079N5T99H/ref=sr_1_1?dchild=1&keywords=Let+Me+Love+You+Alexandria+House&qid=1615772994&s=books&sr=1-1,Adult Romance,1
819,33,The Gift,Rilzy Adams,https://m.media-amazon.com/images/I/71Wp7HsDBGL._AC_UY218_.jpg,2017,"When Maya's best friend, Charlotte, asks her to be her surrogate, she reluctantly agrees. Although pregnancy and motherhood were things Maya didn't plan to deal with for years, she was willing to sacrifice nine months of her time for her best friend's happiness.
 Her world is turned inside out when Charlotte is murdered just as Maya gets confirmation of the IVF's success. Now, Maya must raise the child she never intended to keep and preserve peace with Charlotte's widower, Jaxon.
 Soon Maya finds that pregnancy and impending motherhood are the least of her worries. She must fight against the tenderness she's begun to feel for her best friend's husband and she must atone for the sin she desperately tries to keep hidden.
 Maya Jenkins killed her best friend.",https://www.amazon.com/Gift-Falling-Like-Johnson-Book-ebook/dp/B06W2GMRFV/ref=sr_1_1?dchild=1&keywords=The+Gift+Rilzy+Adams&qid=1615773067&s=books&sr=1-1,Adult Romance,1
821,35,The Millionaire Redemption,Therese Beharrie,https://m.media-amazon.com/images/I/81euDK4EIPL._AC_UY218_.jpg,2017,"A proposal of convenience!
 
 Jacques Brookes wants the world to see the real him the man behind the headlines. When he catches the eye of beautiful Lily Newman, he knows she could be just the woman to help him...
 
 Jacques screams troubleLily's already had her heart broken by her cheating ex-fianc. But by pretending to be Jacques s girlfriend she may be the only person who can help him on his journey to redemption. And he could be just what Lily needs to believe in love again!",https://www.amazon.com/Millionaires-Redemption-Therese-Beharrie-ebook/dp/B01N6Z6PQA/ref=sr_1_1?dchild=1&keywords=The+Millionaire+Redemption+Therese+Beharrie&qid=1615773217&s=books&sr=1-1,Adult Romance,1
822,36,When You Are Mine,Kennedy Ryan,https://m.media-amazon.com/images/I/81+GMjNg6xL._AC_UY218_.jpg,2014,"Forever is a heartbeat away...
 
 Kerris Moreton knows how to make things work. Bounced from foster home to foster home as a kid, she adapted; when opportunity arose, she thrived. Now, about to open her own business and accept a marriage proposal, Kerris is ready to build the life she's always wanted. The only thing missing? A passionate connection with her would-be fianc, Cam. Kerris wants to believe that sparks are overrated-until Walsh Bennett lights her up like the Fourth of July.
 
 ...but what about love?
 
 As one of the East Coast's most eligible bachelors, Walsh enjoys financial independence, fulfilling work with his family's nonprofit, and plenty of female attention. But lately he's been distracted by the one woman he can't have. Lovely to look at and even sweeter to know, Kerris is the soul mate Walsh never thought he would find. The problem is, his best friend found her first...",https://www.amazon.com/When-You-Mine-Bennett-Book-ebook/dp/B00GWOFF5I/ref=sr_1_1?dchild=1&keywords=When+You+Are+Mine+Kennedy+Ryan&qid=1615773270&s=books&sr=1-1,Adult Romance,1
826,40,Her Twin Baby Secret,Therese Beharrie,https://m.media-amazon.com/images/I/81g04m-3p7L._AC_UY218_.jpg,2020,"Could her biggest competition... become her babies' father?
 
 Alexa Moore is the definition of empowered and independent. She runs her own successful business and she's decided to start the family she's longed-forby herself! But after business rival Benjamin Foster comes to her rescue and pretends to be her boyfriend for a night, their earth-shattering kiss sparks Alexa's desire to share much more with him... can she find her Happily-Ever-After with this unexpected love?",https://www.amazon.com/Twin-Baby-Secret-Therese-Beharrie-ebook/dp/B07TSQJDYB/ref=sr_1_1?dchild=1&keywords=Her+Twin+Baby+Secret+Therese+Beharrie&qid=1615773622&s=books&sr=1-1,Adult Romance,1
827,41,Untamed Love,Lindsay Evans,https://m.media-amazon.com/images/I/91YDHRFNTlL._AC_UY218_.jpg,2016,"The one you can't resist...
 
 A winning bid at a silent auction gets Mella Davis more than just complimentary services from landscape architect Victor Raphael. It sparks an instantaneous attraction to the brooding bachelor that takes her completely by surprise. Stern and tightly wound on the surface, irresistibly masculine underneath, he's a challenge to her single-and-loving-it statusand to the heart she's learned to protect. And still, she can't help giving in.
 
 Ever since love burned him in the past, nothing has cracked Victor's calm control. Then he glimpses carefree, vivacious Mella at a Miami charity event. Uninhibited days and sensual nights follow as she brings warmth and desire back to his world, until doubt wrenches them apart. Opposites attract, but can they also overcome their differences...and sow the seeds to thrilling and lasting love?",https://www.amazon.com/Untamed-Love-Kimani-Romance-Book-ebook/dp/B0105YDFVG/ref=sr_1_1?dchild=1&keywords=Untamed+Love+Lindsay+Evans&qid=1615773678&s=books&sr=1-1,Adult Romance,1
828,42,Make a Scene,Mimi Grace,https://m.media-amazon.com/images/I/81-1xNlLs0L._AC_UY218_.jpg,2020,"Faking this relationship should be a piece of cake.
 
 Retta Majors is having a bad day. But that's to be expected when your ex gets engaged to your cousin. Instead of (totally) freaking out, Retta decides to attend the wedding with her amazing, faithful, and handsome boyfriend. One problem...He doesn't exist.
 
 Duncan Gilmore is living his dream. His boxing gym is open for business, and he's focused on success. The last thing on his mind is a relationship. That is until the beautiful baker next door makes him an offer so bizarre, he can't refuse. One weekend of pretending to be Retta's boyfriend should be easy.
 
 However, shared kisses and some flirting start to blur the lines in their fake relationship. When their performance draws to a close, will they go their separate ways or return for an encore?",https://www.amazon.com/Make-Scene-Mimi-Grace-ebook/dp/B08DHFNMXR/ref=sr_1_2?dchild=1&keywords=make+a+scene&qid=1615774503&s=books&sr=1-2,Adult Romance,1
829,43,Black Dahlia,Tiffany Patterson,https://m.media-amazon.com/images/I/91xS4ua0HNL._AC_UY218_.jpg,2015,"A year and a half ago, Mercedes Holmes and Raul Santiago shared an explosive encounter that ended abruptly. Since then, Mercedes has gone out of her way to keep both her emotional and physical distance from the sexy and charming Brazilian. Now, however, the full-time assistant principal and part-time burlesque dancer finds herself in need of Raul's security services.
 
 Raul Santiago is the consummate ladies' man. He's wealthy, sexy-as-sin, and just dangerous enough to put himself between the woman he's had his eye on for more than a year and the stranger stalking her. When Raul finds himself not only offering Mercedes his professional services, but opening up his home to her, the undeniable chemistry between the two becomes irresistible. Over the course of one busy, burlesque performance-filled summer, Raul fights to break down Mercedes' emotional walls, and stop whoever it is that is threatening Mercedes' life.",https://www.amazon.com/Black-Dahlia-Book-Burlesque-ebook/dp/B014RM9CU0/ref=sr_1_1?dchild=1&keywords=Black+Dahlia+Tiffany+Patterson&qid=1615774420&s=books&sr=1-1,Adult Romance,1
832,46,His Bedpost Queen,Lena Hart,https://m.media-amazon.com/images/I/91dxPHIWZ7L._AC_UY218_.jpg,2014,"Love is a valuable weapon...
 Resort and casino co-founder David Carrone has worked hard for what he has. As the illegitimate son to a notorious crime boss, he makes it a point to distance himself from that corrupt life. But when his past comes back in the form of smooth curves and raw passion, David is immediately brought low, putting all he's worked hard for at risk.
 
 Athena Lewis is a mistress at deception. She's savvy with a computer, has a sharp mind, and even sharper attitude. Except when it comes to ""Davie,"" the only man who's ever made her feel safe. But to protect the only family she has, Athena must take on a job that goes against everything she believes ineven if that includes using the last trick she has left. Her body.
 
 With David's trust betrayed and Athena's ""mission"" exposed, they both set out to right some wrongs while playing a game that will only end with them losing their hearts.",https://www.amazon.com/His-Bedpost-Queen-Quartette-Book-ebook/dp/B00M3A1S42/ref=sr_1_1?dchild=1&keywords=His+Bedpost+Queen+Lena+Hart&qid=1615774657&s=books&sr=1-1,Adult Romance,1
835,49,Carter's Flame,Tiffany Patterson,https://m.media-amazon.com/images/I/91oU4lZeyfL._AC_UY218_.jpg,2018,"I was born into a world of wealth and privilege. My birthright was to be at the helm of one of the world's leading energy companies. But that wasn't my purpose in life. Sitting behind a desk of a fortune 500 isn't what gets me going. I'll leave that life to my brothers. No. It took me years to find my true purpose. Saving lives. Walking into the depths of hell to pull out survivors. It's what gets me out of my bed in the morning, and eventually, it's what led me to her.
 On a day that, to her, must've seemed like the wrong place and wrong time, is where I met my destiny. Michelle Clarke. Our worlds collided and I knew instantly that she was mine. Everything in my life up until this point has been preparing me for her.
 My childhood.
 The eight years I spent in special forces.
 And the last six years spent as a proud member of the Williamsport Fire Department's Rescue 4 squad.
 All of it was preparation for her. And nothing, not her reluctance, not my brother, and not even her son's father will stand in the way of what belongs to me. My job is to rescue people and put out fires, but I will set anyone who stands in our way, ablaze. I will happily pour the gasoline and light the match and set all of this shit aflame, just to ensure she is where she belongs ... with me.",https://www.amazon.com/Carters-Flame-Rescue-Four-Novel-ebook/dp/B07BD3Z2X4/ref=sr_1_1?dchild=1&keywords=Carter%27s+Flame+Tiffany+Patterson&qid=1615775064&s=books&sr=1-1,Adult Romance,1
836,50,Birthday Shot,Rilzy Adams,https://m.media-amazon.com/images/I/919VjGYfBfL._AC_UY218_.jpg,2020,"Shae Abbott has always had a soft spot for her older brother's best friend, Kofi. But that is old, old news. It was just a childhood crush. When Kofi returns to Antigua for her brother's engagement party, Shae realizes maybe her crush isn't such old news after all. But could Kofi be interested in the woman who used to follow him around with hearts in her eyes? Shae's thirtieth birthday is approaching and she wonders if maybe it is finally the time to shoot her shot. After all, everyone knows birthday sex doesn't count. Or does it?",https://www.amazon.com/Birthday-Shot-Rilzy-Adams-ebook/dp/B08GJ5GKGV/ref=sr_1_1?dchild=1&keywords=Birthday+Shot+Rilzy+Adams&qid=1615775286&s=books&sr=1-1,Adult Romance,1
